deaths,week,per_10M
8197,1,247.6435045
8268,2,249.7885196
7826,3,236.4350453
7217,4,218.0362538
6347,5,191.7522659
5704,6,172.326284
4986,7,150.6344411
4593,8,138.7613293
4236,9,127.9758308
4250,10,128.3987915
4184,11,126.4048338
4742,12,143.2628399
5090,13,153.776435
5871,14,177.3716012
6867,15,207.4622356
8387,16,253.3836858
10237,17,309.2749245
12928,18,390.5740181
15098,19,456.1329305
17928,20,541.6314199
20034,21,605.2567976
21231,22,641.4199396
22041,23,665.8912387
22920,24,692.4471299
22788,25,688.4592145
20973,26,633.6253776
17296,27,522.5377644
13185,28,398.3383686
9719,29,293.6253776
5541,30,167.4018127
1350,31,40.78549849
