Country,Cases,Deaths,Update Time
United States of America,6552,9,5/23/2009 8:00
United States of America,6552,9,5/25/2009 8:00
United States of America,6764,10,5/26/2009 6:00
United States of America,6764,10,5/27/2009 8:00
United States of America,7927,11,5/29/2009 6:00
United States of America,8975,15,6/1/2009 6:00
United States of America,10053,17,6/3/2009 6:00
United States of America,11054,17,6/5/2009 6:00
United States of America,13217,27,6/8/2009 6:00
United States of America,13217,27,6/10/2009 6:00
United States of America,13217,27,6/11/2009 14:00
United States of America,13217,27,6/12/2009 7:00
United States of America,17855,45,6/15/2009 17:00
United States of America,17855,44,6/17/2009 12:00
United States of America,17855,44,6/19/2009 7:00
United States of America,21449,87,6/22/2009 7:00
United States of America,21449,87,6/24/2009 7:00
United States of America,21449,87,6/26/2009 7:00
United States of America,27717,127,6/29/2009 9:00
United States of America,27717,127,7/1/2009 9:00
United States of America,33902,170,7/3/2009 9:00
United States of America,33902,170,7/6/2009 9:00
