Date,Cases,Deaths,Ref
 May 2013 ,50,30, https://www.who.int/csr/don/2013_05_31_ncov/en/
 Jun 2013 ,77,40, 
 Jul 2013 ,91,46, 
 Aug 2013 ,108,50, 
 Sep 2013 ,130,58, 
 Oct 2013 ,144,62, 
 Nov 2013 ,160,68, 
 Dec 2013 ,176,74, 
 Jan 2014 ,180,77, 
 Feb 2014 ,184,80, 
 Mar 2014 ,206,86, 
 Apr 2014 ,261,93, 
 May 2014 ,636,193, 
 Jun 2014 ,707,252, 
 Jul 2014 ,837,291, 
 Aug 2014 ,,, 
 Sep 2014 ,,, 
 Oct 2014 ,885,319, 
 Nov 2014 ,909,331, 
 Dec 2014 ,941,347, 
 Jan 2015 ,956,351, 
 Feb 2015 ,1030,381, 
 Mar 2015 ,1090,412, 
 Apr 2015 ,1110,422, 
 May 2015 ,1150,427, 
 Jun 2015 ,1357,486, 
 Jul 2015 ,1382,493, 
 Aug 2015 ,1474,515, 
 Sep 2015 ,1589,567, 
 Oct 2015 ,1611,575, 
 Nov 2015 ,1618,579, 
 Dec 2015 ,1621,584, 
 Jan 2016 ,1633,587, http://www.who.int/csr/don/29-january-2016-mers-thailand/en/
 Feb 2016 ,1644,590, http://www.who.int/csr/don/29-february-2016-mers-saudi-arabia/en/
 Mar 2016 ,1698,609, http://www.who.int/csr/don/23-march-2016-mers-saudi-arabia/en/
 Apr 2016 ,1728,624, http://www.who.int/csr/don/26-april-2016-mers-saudi-arabia/en/
 May 2016 ,1733,628, http://www.who.int/csr/don/16-may-2016-mers-saudi-arabia/en/
 Jun 2016 ,1769,630, https://www.who.int/csr/don/29-june-2016-mers-qatar/en/
 Jul 2016 ,1791,640, https://www.who.int/csr/don/25-july-2016-mers-saudi-arabia/en/
 Aug 2016 , , , 
 Sep 2016 ,1806,643, https://www.who.int/csr/don/21-september-2016-mers-saudi-arabia/en/
 Oct 2016 ,1813,645, https://www.who.int/csr/don/31-october-2016-mers-saudi-arabia/en/
 Nov 2016 ,1832,651, https://www.who.int/csr/don/28-november-2016-mers-saudi-arabia/en/
 Dec 2016 ,1864,659, https://www.who.int/csr/don/19-december-2016-2-mers-saudi-arabia/en/
 Jan 2017 ,1888,670, https://www.who.int/csr/don/26-january-2017-mers-saudi-arabia/en/
 Feb 2017 ,1905,677, https://www.who.int/csr/don/10-february-2017-mers-saudi-arabia/en/
 Mar 2017 ,1917,684, https://www.who.int/csr/don/10-march-2017-mers-saudi-arabia/en/
 Apr 2017 ,1952,693, https://www.who.int/csr/don/27-april-2017-mers-saudi-arabia-and-qatar/en/
 May 2017 , , , 
 Jun 2017 ,2036,710, https://www.who.int/csr/don/28-june-2017-mers-saudi-arabia/en/
 Jul 2017 ,2040,712, https://www.who.int/csr/don/06-july-2017-mers-saudi-arabia/en/
 Aug 2017 ,2067,720, https://www.who.int/csr/don/28-august-2017-mers-uae/en/
 Sep 2017 ,2081,722, https://www.who.int/csr/don/21-september-2017-mers-uae/en/
 Oct 2017 ,2090,730, https://www.who.int/csr/don/09-october-2017-mers-saudi-arabia/en/
 Nov 2017 ,2103,733, https://www.who.int/csr/don/10-november-2017-mers-oman/en/
 Dec 2017 ,2122,740, https://www.who.int/csr/don/22-december-2017-mers-cov-united-arab-emirates/en/
 Jan 2018 , , , 
 Feb 2018 , , , 
 Mar 2018 ,2144,750, https://www.who.int/csr/don/15-march-2018-mers-oman/en/
 Apr 2018 , , , 
 May 2018 ,2207,787, https://www.who.int/csr/don/28-may-2018-mers-uae/en/
 Jun 2018 ,2220,790, https://www.who.int/csr/don/18-june-2018-mers-saudi-arabia/en/
 Jul 2018 , , , 
 Aug 2018 , , , 
 Sep 2018 , , , 
 Oct 2018 ,2254,800, https://www.who.int/csr/don/03-october-2018-mers-saudi-arabia/en/
 Nov 2018 ,2266,804, https://www.who.int/csr/don/20-november-2018-mers-saudi-arabia/en/
 Dec 2018 ,2274,806, https://www.who.int/csr/don/28-december-2018-mers-saudi-arabia/en/
 Jan 2019 ,2279,806, https://www.who.int/csr/don/16-january-2019-mers-saudi-arabia/en/
 Feb 2019 ,2345,817, https://www.who.int/csr/don/26-february-2019-mers-saudi-arabia/en/
 Mar 2019 ,2374,823, https://www.who.int/csr/don/29-march-2019-mers-saudi-arabia/en/
 Apr 2019 ,2399,827, https://www.who.int/csr/don/24-April-2019-mers-saudi-arabia/en/
 May 2019 ,2428,839, https://www.who.int/csr/don/17-may-2019-mers-saudi-arabia/en/
 Jun 2019 , , , 
 Jul 2019 ,2449,845, https://www.who.int/csr/don/24-july-2019-mers-saudi-arabia/en/
 Aug 2019 ,2458,849, https://www.who.int/csr/don/26-august-2019-mers-saudi-arabia/en/
 Sep 2019 ,2464,850, https://www.who.int/csr/don/26-september-2019-mers-saudi-arabia/en/
 Oct 2019 ,2470,851, https://www.who.int/csr/don/31-october-2019-mers-the-united-arab-emirates/en/
 Nov 2019 , , , 
 Dec 2019 , , , 
 Jan 2020 ,2506,862, https://www.who.int/csr/don/31-january-2020-mers-united-arab-emirates/en/
 Feb 2020 ,2519,866, https://www.who.int/csr/don/24-february-2020-mers-saudi-arabia/en/
 Mar 2020 ,2521,866, https://www.who.int/csr/don/12-march-2020-mers-qatar/en/
 Apr 2020 ,2538,871, https://www.who.int/csr/don/08-april-2020-mers-saudi-arabia/en/
