days,cases,deaths,recov
25,2825.3,118.69,1355.4
26,2825.3,118.69,1355.4
27,2922.8,118.7,1396
28,3012.3,123.62,1431.6
29,3132.5,128.53,1473
30,3199.6,143.7,1492.4
31,3263.7,156.18,1531.1
32,3342.5,156.18,1574.5
33,3483.6,169.01,1689.8
34,3584.2,180.79,1766.1
35,3711.9,194.88,1818.6
36,3832.8,209.41,1866.1
37,3913.4,218.65,1906.1
38,4174.9,233.14,1989.1
39,4386.1,256.11,2093.1
40,4576.6,268.63,2172.6
41,4774.9,274.08,2218.4
42,4896.5,289.39,2257.8
43,5026.9,304.45,2328.7
44,5372.1,344.72,2402.9
45,5609.7,369.3,2456.7
46,5817.4,387.56,2530.5
47,6018.4,410.63,2622.8
48,6204.1,430.53,2688.7
49,6362.2,446.94,2726.7
50,6562.7,461.02,2759.4
51,6692.7,478.92,2805.4
52,6864.8,481.04,2869.6
53,7023.1,506.25,2943.8
54,7145.5,506.02,2991.3
55,7261.9,517.75,3065.6
56,7341.7,531.69,3114.8
57,7434,543.48,3185.9
58,7537.3,568.92,3290.7
59,7619.6,587.06,3389.1
60,7691.1,587.77,3480.4
61,7739.7,605,3571.6
62,7762,615.52,3663.7
63,7807.6,621.12,3749.3
64,7865.2,630.96,3842.5
65,7913.9,655.84,3983.5
66,7964.7,655.96,4076.8
67,8035.6,680.97,4212.6
68,8108.6,680.94,4328.2
69,8130,700.79,4470.7
70,8155.7,709.39,4566
71,8202.6,718.43,4673
72,8214.4,724.75,4782.9
73,8240,743.46,4885.6
74,8284.4,743.42,4999.8
75,8308.3,743.39,5140.3
76,8346.6,762.13,5256.5
77,8356.4,761.49,5346.2
78,8377.6,768.38,5410.1
79,8390,768.41,5511.6
80,8390,768.41,5746.6
81,8390,768.41,5842
82,8390.7,763.13,5941.2
83,8398.9,772.21,6064.3
84,8409.4,782.24,6205.8
85,8415.2,793.39,6323
86,8440,793.39,6489.2
87,8440,793.41,6606.3
88,8440,793.41,6698.7
89,8458.7,787.15,6786.4
90,8458.8,787.24,6865
91,8458.9,787.28,6952.8
92,8465,793.41,6997.2
93,8465,793.39,7101.8
94,8465,793.56,7152.4
95,8465.3,805.89,7191.7
96,8458.1,805.44,7218
97,8455.2,805.06,7259.4
98,8452.8,805.59,7304.2
99,8464.9,805.89,7328.4
100,8465,805.89,7353.1
101,8465,805.89,7365.4
102,8446.1,805.89,7377.8
103,8434.6,805.89,7391.9
104,8437.7,805.89,7399
105,8439.9,805.89,7406.8
106,8440,805.89,7415.4
107,8440,805.89,7415.4
108,8440,805.89,7419.1
109,8440,805.89,7435
110,8440.9,805.01,7434.2
111,8441.6,805.03,7434.2
112,8440.7,805.18,7434.2
113,8440,805.89,7440.6
114,8440,805.89,7440.6
