YEAR,MONTH,DEATHS,Monthname
2018,1,5659,January
2018,2,5244,February
2018,3,5793,March
2018,4,5555,April
2018,5,5773,May
2018,6,5817,June
2018,7,5940,July
2018,8,5836,August
2018,9,5500,September
2018,10,5522,October
2018,11,5177,November
2018,12,5551,December
2019,1,5519,January
2019,2,5180,February
2019,3,5887,March
2019,4,5562,April
2019,5,5829,May
2019,6,5807,June
2019,7,6162,July
2019,8,6194,August
2019,9,5882,September
2019,10,6133,October
2019,11,6176,November
2019,12,6299,December
2020,1,6458,January
2020,2,6330,February
2020,3,7144,March
2020,4,7743,April
2020,5,9155,May
2020,6,7879,June
2020,7,8008,July
